creditcardid,creditcardnumber,creditcardexpirationdate,userid
9467,99658816711200,2023-11-01,96342
58006,9932184047743738,2024-02-11,29076
1499,99306570723763,2022-09-25,76394
26511,9890119835458019,2025-06-13,19816
74574,98279028493411,2023-04-30,76339
10201,98029320442163,2024-09-17,7210
30249,976656101158886,2024-01-05,56104
13294,9717564449362873,2024-01-23,34244
27923,971201038330001,2022-09-29,57236
5654,97118246903510,2022-11-18,76339
7202,965354584366838,2024-06-30,10295
2950,96217363225181510,2022-03-26,25414
68556,96136007634555,2025-12-16,29694
53998,9600181855416617,2025-08-06,86826
81395,95778922203753,2024-12-10,8680
78583,95519897575396,2024-01-30,29396
67870,9515136288786622,2022-02-14,44135
30750,95144017700081,2024-07-27,29694
4242,95115819871371470,2024-09-29,37182
10876,946387135713419,2022-10-11,42233
12824,94219149089308826,2022-08-29,7210
25044,939495992686852,2023-09-13,4030
8555,93614978217158,2024-07-16,61663
60610,93496774875694376,2024-08-17,93153
13084,93324659694710283,2022-07-25,10489
37160,93102087969379,2025-07-22,63624
32529,92911069720701,2024-05-31,32346
75450,9216893647646768,2022-11-22,36603
84084,9210486766361338,2022-06-20,41432
37184,91583191975250,2022-07-12,18292
29543,914977796304617,2024-07-19,96067
11078,913127950765725,2025-08-13,49231
57646,910129008766062,2025-10-04,58685
87771,909450735059723,2023-04-03,99900
91427,905720379163497,2025-06-27,23757
8321,9056057130469564,2024-01-24,48276
82954,903857216238957,2022-03-30,53783
33469,9034174100831544,2024-06-04,51438
59226,89921259600846391,2024-02-05,81731
49978,89845922543010,2025-03-02,8443
46612,894456045518101,2023-11-06,7957
24661,89155184888602,2023-01-20,76067
22189,888423235100608,2024-02-28,58937
37992,885909032744000,2024-06-20,18816
7301,8839997404642190,2023-01-06,65468
89982,88236317747450,2023-12-22,90259
21638,88153567082170545,2023-04-18,29412
6045,8812781176318045,2024-05-16,16548
9237,879724038497899,2024-10-28,81742
21077,8785508273695317,2025-05-24,29894
64599,8707176828867619,2022-11-01,53783
47738,8599441633634968,2024-07-24,92916
29148,858631606415298,2024-07-02,10295
48867,854129884674260,2024-05-14,37109
99838,85170435204120,2023-01-09,92916
27015,842155376736709,2025-02-14,44135
62531,841984173505797,2023-08-13,93850
88531,838872131760434,2023-03-15,12476
64780,834525590021431,2024-09-22,51697
41807,833478180563757,2025-10-11,25092
3011,83315323382870,2024-11-14,76339
38904,83101228974819,2023-09-11,61107
80725,826814483523029,2023-08-02,12476
27672,82631609776507,2025-01-06,29076
404,8242279268179800,2024-11-02,98744
624,8224815448400999,2022-11-23,29694
78369,82186690764726208,2024-05-05,93153
16012,821080315002073,2025-01-12,11622
33944,8165204070727596,2024-01-04,12406
47082,816313463138065,2022-02-08,7210
38043,81443705213523025,2025-01-26,24052
66957,81401783813602666,2025-12-15,78370
90412,8132965511732618,2025-11-02,2328
36749,81276945010415,2022-10-07,81731
68587,81062528549352,2024-10-07,98630
12021,8075973447465521,2024-05-15,56104
62272,80460593970030976,2022-01-02,91575
45342,80199163931640624,2025-09-21,47339
69101,80050126756648,2023-09-03,42783
5996,79697669921054,2025-07-22,71923
82474,796364703722985,2023-07-02,19353
24090,793904371128063,2025-02-04,84840
26290,7875162303902126,2023-08-04,40257
89797,78105527033118,2024-06-08,15543
81336,778128160524051,2022-03-11,31991
17252,7777561210843437,2025-11-24,76460
79220,777000122253232,2023-04-10,7708
30657,77449316929335,2025-06-18,93850
29682,77435250143313372,2025-03-26,82908
42597,76014379998893988,2023-09-29,99173
38103,7578221365727270,2024-05-22,61789
35324,75652375323987054,2023-03-08,47714
68146,7489317673444066,2023-02-14,34152
68887,745481368388851,2023-05-08,7210
91587,74458143057565,2024-08-29,45074
37877,7408462670861434,2024-11-18,57364
7014,7344130021581602,2025-11-29,69088
94721,73295755716837,2022-10-24,57088
75805,73123259589403627,2022-08-28,26801
52444,73029857413755,2022-06-05,56104
94301,729871394626044,2025-11-22,76459
81344,72718562502273,2022-05-20,35623
86559,72667970520911,2024-07-13,85824
86158,723853272436387,2022-04-18,57074
61188,72278594646769,2024-03-09,33241
67165,7181600985321159,2023-11-10,70139
64246,718155806208574,2024-01-07,55759
10300,71233918368034292,2025-05-20,51438
52290,710386300975727,2025-06-05,7708
68782,7054153025140275,2023-04-14,95652
87394,69127190127590,2022-08-28,74000
15124,68930554422668,2024-04-10,50524
97408,687752885401730,2022-05-17,83096
54668,68449538184979,2023-05-25,29307
85246,6840259533974102,2022-11-04,22474
93768,678483119462112,2025-10-10,30641
91557,67193897803265686,2022-06-02,17046
6389,6666365481819091,2024-07-01,53034
82002,665836192090366,2022-08-01,58937
13481,65929015620033,2023-06-25,83478
9223,65919084520271264,2024-01-13,18918
52288,6589432614927254,2024-10-01,53783
27230,64330167158115,2025-07-10,19628
71052,6432694669731901,2023-10-28,56260
62170,64274758842506,2024-03-13,7617
97365,63736351355738782,2022-03-29,67463
63534,63520082375765535,2025-06-12,74000
26524,63250464115909,2025-05-28,4030
91836,62998052929650,2024-11-09,39397
55995,62963256384329,2024-03-19,99173
71342,6267006545205895,2022-05-13,92916
77260,62232187682290,2023-10-01,76189
41977,620901149802092,2024-08-17,53422
81833,620677991267394,2025-08-22,83287
5746,618446470243630,2024-06-01,28165
2058,61213591911102480,2025-04-19,57729
98847,60967383934246,2023-11-29,25092
24334,60662516193452,2025-04-07,3583
23241,603911760063859,2024-05-11,58868
68040,60331396563558015,2024-03-13,67463
77936,6028016779898704,2024-09-24,85767
71242,60203312656872,2022-03-31,57074
46091,592026570748703,2025-12-24,73793
76724,59005560529092690,2023-06-23,99173
57176,589140325655764,2023-08-10,58868
70249,586940519666200,2024-06-14,58685
35356,585019068638287,2023-08-29,73793
31006,584541701414115,2023-05-25,93153
44138,5829202439191165,2025-06-02,9479
76825,58211801983933,2022-03-23,53906
92729,5803747597794723,2022-06-17,56363
61598,5768296129899901,2024-08-07,70276
49348,57666159416415643,2024-01-05,39899
64927,574965718308866,2022-11-02,57088
81071,57466401277807,2024-08-11,48337
22028,5726905144626639,2025-06-13,24052
80923,5709257950705308,2022-06-07,99111
63951,56308994431791,2023-02-01,19628
49629,5606104234433794,2022-08-03,98114
65661,56026864407194,2022-03-27,65175
26113,5594741201038603,2022-08-01,492
27390,55768798202353,2023-01-03,50524
17676,55675417352318,2023-04-18,45074
21690,5554776713473226,2025-01-24,78370
60044,55367271163023,2025-06-12,28165
81830,553022881574444,2024-05-15,48549
39366,55138646557334524,2025-08-03,85536
31164,551051505927896,2025-01-21,93764
96509,5453748796913305,2022-10-13,80288
97416,54464949980577,2024-12-08,76459
19109,541656153504484,2023-01-03,99900
91495,5374354229886625,2022-08-13,95254
31284,53399807844849201,2023-12-23,58937
66829,5310103813295859,2025-05-16,58937
93636,5273154717598673,2022-04-18,24052
93662,52682060232598045,2022-11-14,53906
4811,5263890821635707,2023-06-28,19628
12211,5253947560511243,2025-08-01,76339
87417,522974963873513,2024-02-28,53783
54727,5209931776555246,2025-12-08,80753
88654,51943500540449139,2025-10-20,83287
36908,51669697389640,2025-10-27,29076
46025,5163671170108615,2022-07-03,83096
62019,51492835291083197,2024-07-26,74000
80139,513927494643872,2023-03-26,96471
98616,5113354179370738,2025-02-04,3169
29638,51109542231513129,2023-10-21,49421
25740,5091467215795404,2023-03-12,72995
29143,507410830125990,2024-05-12,36603
67682,5072554311851247,2023-03-12,160
2836,507026978572145,2024-11-03,4030
7045,50590126157035830,2023-02-21,99900
58314,5058901047085140,2024-07-05,51438
72770,50346393301907516,2025-05-25,7171
93793,50019832542460722,2023-02-10,94983
83021,496279008788372,2022-09-14,18918
41747,493946900707047,2024-10-26,34152
20400,4874782316337209,2023-12-07,65637
1005,4852742549170101,2022-02-14,29412
23787,4821369069865663,2024-10-16,27832
49981,47696369019238,2022-09-21,29076
13541,476179714220687,2024-02-08,48549
81461,47531694299251,2023-08-07,57722
78155,47494917917262,2025-09-09,5567
70046,47341912484284,2022-01-23,37571
49282,47240525192112,2022-08-27,72743
24462,46697250391438,2023-09-08,61789
41062,4660132203101245,2024-06-12,44576
2805,46466231708689,2024-01-20,51334
78358,463849721224264,2022-04-28,34244
12152,462287686149199,2024-04-02,70276
55937,461880216020006,2022-02-01,53034
50024,454213091325193,2023-10-14,99173
75707,43433916112237,2024-05-26,57088
62157,4333584882911039,2024-05-09,58868
76353,432087416978283,2023-04-12,97321
47922,42991987669612416,2022-08-08,10295
87959,42422026831147585,2023-01-10,81731
56744,4221621307135907,2025-01-13,58685
11158,4219321598081996,2022-09-19,53783
6937,420293827263871,2025-11-11,95652
42077,41983030396747,2023-06-08,13332
58543,418287973547234,2022-05-11,18292
44492,41278781280166,2022-09-26,90141
55381,41237778181833127,2023-04-04,43710
93116,41181681212152454,2024-03-27,76339
3979,4071357422217510,2025-05-07,29307
51051,404450876387995,2022-05-02,23590
69696,40246502357754,2024-06-25,8680
23047,40151245072476095,2025-08-21,96628
30381,40027648422651,2025-12-16,29076
46140,39634308450896,2025-11-12,76189
38195,394720694281844,2023-11-09,45419
14685,391052051421313,2025-10-30,39397
48730,390698562039996,2022-10-16,61107
49129,390428436464657,2025-03-30,58868
34193,3894884246806438,2024-03-16,95652
2577,38905618751216,2024-07-09,160
33884,3856691166273279,2022-01-02,83096
6740,38318408573559644,2023-06-29,60972
94540,3761514907477669,2025-06-02,96342
9577,37412911723587720,2022-11-30,39411
55326,37157114724883,2022-05-11,37241
7998,3714664538806738,2024-01-06,96471
98276,36988541066969,2023-03-01,8680
70904,36763265663332119,2024-05-12,14112
56498,36721306898151,2024-12-09,1903
9089,36542512330970,2025-05-20,81731
50269,36488462024470115,2022-05-31,17000
11612,36355059603328331,2025-02-17,58868
83508,36308285269482087,2022-03-11,51799
73044,360093359951353,2024-12-25,60531
43196,3600501218273381,2025-08-10,56260
62657,35815205125930,2022-11-04,76459
14659,3562311358085029,2022-06-23,1686
74767,353532012380962,2024-06-25,26801
22995,35266623417319,2023-01-09,58937
85365,35142302580336,2022-03-11,95652
43912,351134374279005,2022-02-16,56260
96345,3492782370315904,2025-04-02,47183
1340,34165677924031680,2025-02-09,57364
70891,34078730413867556,2022-10-25,27238
43036,33652828060184,2022-03-03,65637
27563,33568340549997,2022-10-25,80288
70648,335463933385861,2024-07-02,45419
57444,33169183621830,2025-06-10,31991
32593,3307287876177677,2024-01-05,67154
70104,32781346815791,2024-04-18,88769
18205,32560689566757317,2022-05-27,62249
9929,322274278981432,2024-01-14,90259
83434,3212331742298939,2022-05-15,96471
19279,31771957981957,2025-06-07,95652
99793,3152740966397382,2024-03-21,25414
84358,31433411246366,2023-05-09,70214
61410,3132958175840229,2023-05-14,18292
59936,31257183043410459,2025-01-17,39899
15744,3092991928643478,2025-11-03,37109
33597,307723562666199,2025-05-29,2328
66012,30675540687480866,2022-08-07,16464
51268,30415509276381209,2022-03-10,70276
28714,30223547909484,2023-02-07,33241
75429,29923852889561893,2025-01-30,96628
76120,2955038863629739,2023-04-15,12406
56780,29383370445994481,2024-09-28,2739
73974,29240963734375,2023-07-08,58685
32610,29121671344600,2024-04-01,69088
86976,2907447597858003,2023-09-08,53906
33437,290072042815475,2025-10-20,29412
36389,288098404311693,2025-10-30,5567
95362,2876493149325739,2024-02-28,61869
82116,286936427131115,2022-04-12,66149
76021,28341344903524,2022-07-27,57199
16158,282926168389899,2022-05-05,31991
55975,2742417199474625,2024-05-02,57088
19507,27260191981803417,2022-10-03,64569
69036,2676141261342091,2022-09-09,55244
49970,26567657675921,2025-02-13,10489
52619,26401676482960,2024-03-01,80753
39373,263481736094525,2024-09-27,85388
53248,262709900403653,2023-09-30,26801
92398,26220775669156,2023-05-02,53783
40035,2617963282777225,2022-10-19,76394
45644,25953240559193056,2022-11-08,57356
63801,2590992550833884,2025-11-08,54988
28200,25794735834649128,2023-02-03,10643
3881,25688788490087644,2025-07-15,51438
44458,25472338151078,2024-04-23,60810
20218,246353374056118,2022-05-18,74000
4683,24580238416757096,2025-12-26,73793
93019,24487562988460574,2025-04-04,160
26359,24364392631712,2025-05-02,29307
58046,2424011381687500,2022-10-30,28609
19199,241052730926743,2023-11-15,67229
88345,23920142716085820,2025-01-15,25963
61423,23555380469175,2024-03-15,25516
10118,2334656431107456,2023-02-10,10643
56666,229863487552357,2023-10-21,29412
51280,22339182720265,2022-09-30,57729
46292,2229033907105692,2024-07-15,71409
44392,2200191365840877,2024-11-08,18816
95277,217397335816432,2023-01-03,58868
86806,21489424475836,2025-03-29,14112
3052,21327075024585361,2023-07-23,25414
30681,20968815825773,2024-05-30,19353
9521,2069589718815825,2025-08-06,90141
91406,205841225284392,2024-11-28,17046
25349,202763041605837,2022-04-21,39411
7787,195467731669627,2023-02-12,39397
69501,194454132567610,2022-04-08,42233
15295,1890447408169425,2025-01-17,57074
50263,1843210115043659,2024-03-05,25048
90322,1837838729548726,2024-04-01,71923
82171,18309267001564290,2022-05-04,16548
41302,18013814427019,2022-03-12,4069
75038,1800316092979184,2024-07-25,85348
34166,179589372819713,2024-08-06,99900
30509,16956878258003521,2025-05-30,57729
29830,1657684295352063,2023-11-29,39899
64162,16539262940488339,2023-03-23,90168
65691,15927624945365364,2022-10-07,65637
45474,1554062888194114,2023-08-18,16714
26696,146070077287928,2025-03-18,1686
4842,1453669732174502,2024-06-03,85348
84997,1440351968838736,2024-01-05,25341
52739,1438969922581515,2025-10-02,70967
43928,13980824320960,2025-05-17,79746
1615,13642435982418,2025-07-27,65637
61868,13388518526474779,2025-02-24,160
42852,127364627705494,2025-11-26,6134
69057,12693884047194,2024-05-23,85767
30682,1216313289550685,2022-03-12,85348
40185,10666575182582453,2025-06-02,4069
